날짜,지역,확진자수
2020.04.22,인천,92
2020.04.22,광주,30
2020.04.22,대전,40
2020.04.22,울산,43
2020.04.22,세종,46
2020.04.22,경기,658
2020.04.22,강원,53
2020.04.22,충북,45
2020.04.22,충남,141
2020.04.22,전북,17
2020.04.22,전남,15
2020.04.22,경북,1363
2020.04.22,경남,117
2020.04.22,제주,13
2020.04.23,서울,628
2020.04.23,부산,135
2020.04.23,대구,6840
2020.04.23,인천,92
2020.04.23,광주,30
2020.04.23,대전,40
2020.04.23,울산,43
2020.04.23,세종,46
2020.04.23,경기,659
2020.04.23,강원,53
2020.04.23,충북,45
2020.04.23,충남,141
2020.04.23,전북,17
2020.04.23,전남,15
2020.04.23,경북,1363
2020.04.23,경남,117
2020.04.23,제주,13
2020.04.24,서울,628
2020.04.24,부산,136
2020.04.24,대구,6842
2020.04.24,인천,92
2020.04.24,광주,30
2020.04.24,대전,40
2020.04.24,울산,43
2020.04.24,세종,46
2020.04.24,경기,660
2020.04.24,강원,53
2020.04.24,충북,45
2020.04.24,충남,141
2020.04.24,전북,17
2020.04.24,전남,15
2020.04.24,경북,1364
2020.04.24,경남,117
2020.04.24,제주,13
2020.04.25,서울,629
2020.04.25,부산,136
2020.04.25,대구,6845
2020.04.25,인천,92
2020.04.25,광주,30
2020.04.25,대전,40
2020.04.25,울산,43
2020.04.25,세종,46
2020.04.25,경기,662
2020.04.25,강원,53
2020.04.25,충북,45
2020.04.25,충남,141
2020.04.25,전북,17
2020.04.25,전남,15
2020.04.25,경북,1364
2020.04.25,경남,117
2020.04.25,제주,13
2020.04.26,서울,629
2020.04.26,부산,137
2020.04.26,대구,6846
2020.04.26,인천,92
2020.04.26,광주,30
2020.04.26,대전,40
2020.04.26,울산,43
2020.04.26,세종,46
2020.04.26,경기,668
2020.04.26,강원,53
2020.04.26,충북,45
2020.04.26,충남,141
2020.04.26,전북,18
2020.04.26,전남,15
2020.04.26,경북,1364
2020.04.26,경남,117
2020.04.26,제주,13
2020.04.27,서울,629
2020.04.27,부산,137
2020.04.27,대구,6847
2020.04.27,인천,92
2020.04.27,광주,30
2020.04.27,대전,40
2020.04.27,울산,43
2020.04.27,세종,46
2020.04.27,경기,671
2020.04.27,강원,53
2020.04.27,충북,45
2020.04.27,충남,142
2020.04.27,전북,18
2020.04.27,전남,15
2020.04.27,경북,1364
2020.04.27,경남,117
2020.04.27,제주,13
2020.04.28,서울,633
2020.04.28,부산,137
2020.04.28,대구,6849
2020.04.28,인천,93
2020.04.28,광주,30
2020.04.28,대전,40
2020.04.28,울산,43
2020.04.28,세종,46
2020.04.28,경기,674
2020.04.28,강원,53
2020.04.28,충북,45
2020.04.28,충남,142
2020.04.28,전북,18
2020.04.28,전남,15
2020.04.28,경북,1365
2020.04.28,경남,117
2020.04.28,제주,13
2020.04.29,서울,633
2020.04.29,부산,137
2020.04.29,대구,6852
2020.04.29,인천,93
2020.04.29,광주,30
2020.04.29,대전,40
2020.04.29,울산,43
2020.04.29,세종,46
2020.04.29,경기,676
2020.04.29,강원,53
2020.04.29,충북,45
2020.04.29,충남,143
2020.04.29,전북,18
2020.04.29,전남,15
2020.04.29,경북,1365
2020.04.29,경남,117
2020.04.29,제주,13
2020.04.30,서울,633
2020.04.30,부산,137
2020.04.30,대구,6852
2020.04.30,인천,93
2020.04.30,광주,30
2020.04.30,대전,40
2020.04.30,울산,43
2020.04.30,세종,46
2020.04.30,경기,676
2020.04.30,강원,53
2020.04.30,충북,45
2020.04.30,충남,143
2020.04.30,전북,18
2020.04.30,전남,15
2020.04.30,경북,1365
2020.04.30,경남,117
2020.04.30,제주,13
2020.05.01,서울,634
2020.05.01,부산,137
2020.05.01,대구,6852
2020.05.01,인천,94
2020.05.01,광주,30
2020.05.01,대전,40
2020.05.01,울산,43
2020.05.01,세종,46
2020.05.01,경기,678
2020.05.01,강원,53
2020.05.01,충북,45
2020.05.01,충남,143
2020.05.01,전북,18
2020.05.01,전남,15
2020.05.01,경북,1366
2020.05.01,경남,117
2020.05.01,제주,13
2020.05.02,서울,635
2020.05.02,부산,138
2020.05.02,대구,6852
2020.05.02,인천,95
2020.05.02,광주,30
2020.05.02,대전,40
2020.05.02,울산,43
2020.05.02,세종,46
2020.05.02,경기,678
2020.05.02,강원,53
2020.05.02,충북,45
2020.05.02,충남,143
2020.05.02,전북,18
2020.05.02,전남,15
2020.05.02,경북,1366
2020.05.02,경남,117
2020.05.02,제주,13
2020.05.03,서울,637
2020.05.03,부산,138
2020.05.03,대구,6856
2020.05.03,인천,95
2020.05.03,광주,30
2020.05.03,대전,40
2020.05.03,울산,43
2020.05.03,세종,46
2020.05.03,경기,680
2020.05.03,강원,53
2020.05.03,충북,45
2020.05.03,충남,143
2020.05.03,전북,18
2020.05.03,전남,15
2020.05.03,경북,1366
2020.05.03,경남,117
2020.05.03,제주,13
2020.05.04,서울,637
2020.05.04,부산,138
2020.05.04,대구,6856
2020.05.04,인천,96
2020.05.04,광주,30
2020.05.04,대전,40
2020.05.04,울산,44
2020.05.04,세종,46
2020.05.04,경기,681
2020.05.04,강원,53
2020.05.04,충북,45
2020.05.04,충남,143
2020.05.04,전북,18
2020.05.04,전남,16
2020.05.04,경북,1366
2020.05.04,경남,117
2020.05.04,제주,13
2020.05.05,서울,637
2020.05.05,부산,138
2020.05.05,대구,6856
2020.05.05,인천,97
2020.05.05,광주,30
2020.05.05,대전,40
2020.05.05,울산,44
2020.05.05,세종,46
2020.05.05,경기,681
2020.05.05,강원,53
2020.05.05,충북,45
2020.05.05,충남,143
2020.05.05,전북,18
2020.05.05,전남,16
2020.05.05,경북,1366
2020.05.05,경남,117
2020.05.05,제주,13
2020.05.06,서울,637
2020.05.06,부산,138
2020.05.06,대구,6856
2020.05.06,인천,97
2020.05.06,광주,30
2020.05.06,대전,40
2020.05.06,울산,44
2020.05.06,세종,46
2020.05.06,경기,681
2020.05.06,강원,53
2020.05.06,충북,45
2020.05.06,충남,143
2020.05.06,전북,18
2020.05.06,전남,16
2020.05.06,경북,1366
2020.05.06,경남,117
2020.05.06,제주,13
2020.05.07,서울,637
2020.05.07,부산,138
2020.05.07,대구,6856
2020.05.07,인천,97
2020.05.07,광주,30
2020.05.07,대전,41
2020.05.07,울산,44
2020.05.07,세종,46
2020.05.07,경기,682
2020.05.07,강원,53
2020.05.07,충북,46
2020.05.07,충남,143
2020.05.07,전북,18
2020.05.07,전남,16
2020.05.07,경북,1366
2020.05.07,경남,117
2020.05.07,제주,13
2020.05.08,서울,637
2020.05.08,부산,140
2020.05.08,대구,6859
2020.05.08,인천,97
2020.05.08,광주,30
2020.05.08,대전,41
2020.05.08,울산,44
2020.05.08,세종,46
2020.05.08,경기,684
2020.05.08,강원,53
2020.05.08,충북,47
